Model Number,Capacity,Noise Level (Low/High),Dehumidification (Pts/Hr),Electrical,Updated Coverage (Oahu Matrix)
LW8024RD,"8,000 BTU",54 / 58 dB,2.1 Pts/Hr,115V / 15 Amp,100–200 sq. ft. (Bedroom/Office)
LW1017ERSM1,"10,000 BTU",52 / 59 dB,3.0 Pts/Hr,115V / 15 Amp,200–250 sq. ft. (Master/Studio)
LW1217ERSM1,"12,000 BTU",52 / 59 dB,3.8 Pts/Hr,115V / 15 Amp,200–250 sq. ft. (Master/Studio)
,,,,,
,,,,,
Features,Feature Details,,,,
Gold Fin™ Anti-Corrosive Shield:," An essential industrial-grade protective coating on the condenser fins that prevents salt-air oxidation, a critical requirement for any hardware deployed on Oahu.",,,,
LG ThinQ® (Built-in Wi-Fi): ,"Available on the ERSM1 models, allowing us to provide customers with remote smart energy monitoring, and mobile climate control.",,,,
High-Velocity Airflow: ,Engineered with 4-way directional louvers and 3 fan speeds to maximize vertical momentum and eliminate stagnant hot spots in deep-room configurations.,,,,
Rapid Cool Start: ,A high-torque compressor cycle specifically tuned for immediate thermal recovery in high-humidity tropical environments.,,,,
Auto-Restart:, Automatically restores the cooling cycle to previous settings following island power surges or brief utility outages.,,,,