RAB26A CASEMENT MODEL NUMBER & SPECS,,
Specification,Dimension / Detail,Technical Advantage
Width,26 in,"Universal standard for J-Series and modern 26"" through-the-wall units."
Height,15.5 in,Precision fit to eliminate gaps and reduce noise vibration.
Depth,16.75 in,Optimized for island wall thicknesses and proper unit drainage.
Weight,20.5 lb,Solid-sided galvanized steel construction for long-term rigidity.
Material,Galvanized Steel,Baked enamel finish to resist rust and coastal salt-air corrosion.
,,
Features,Features Details,
Quick Snap Assembly: ,"Specialized design that allows for rapid, secure assembly on-site without complex hardware, reducing installation labor for us.",
,,
Polymer Gasket Seal: ,"A specialized weather seal that surrounds the opening to prevent drafts, moisture, and island humidity from entering the home.",
,,
Included Aluminum Grille (RAG13A): ,Every unit comes standard with a rear grille to protect the external condenser fins from debris and maximize airflow efficiency.,
,,
Weather Protection Panels: ,Includes interior and exterior panels to keep the wall opening sealed and protected until the air conditioner chassis is ready for final deployment.,
,,
Compatible Units: ,"Directly supports high-demand Oahu models including AJCQ08AWJ, AJCQ10AWJ, AJCQ12AWJ, and LG HRSM series.",